"filename", "language", "JSON", "PostCSS", "HTML", "JavaScript", "Markdown", "MS SQL", "TypeScript JSX", "TypeScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\pages\HomePage.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\pages\LoginPage.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\pages\RODashboard.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\pages\ResumeSubmit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\pages\SignUpPage.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\services\api.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\services\assignmentService.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 11, 52
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\services\authService.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\services\clientService.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 16, 76
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\services\companyService.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 23
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\styling\CardNav.css", "PostCSS", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 235
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\styling\ClientDetails.css", "PostCSS", 0, 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 582
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\styling\DashboardAvatar.css", "PostCSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\styling\auth.css", "PostCSS", 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50, 352
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\styling\dashboard.css", "PostCSS", 0, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 415
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\styling\home.css", "PostCSS", 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 398
"c:\Users\User\Documents\GitHub\breakwaters-website-old\client\src\utils\roles.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\Documents\GitHub\breakwaters-website-old\db-upload\breakwaters_website.sql", "MS SQL", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 110, 54, 300
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\package-lock.json", "JSON", 2198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2199
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\config\db.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\controllers\assignmentController.js", "JavaScript", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 26, 154
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\controllers\authController.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 37, 150
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\controllers\clientController.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 28, 164
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\controllers\companyController.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\controllers\recruitmentOfficerController.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\index.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\middleware\authMiddleware.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\middleware\errorMiddleware.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\middleware\roleMiddleware.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\middleware\uploadMiddleware.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\models\ActivityLog.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\models\Assignment.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\models\CV.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\models\Client.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\models\Company.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\models\User.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\routes\assignmentRoutes.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\routes\authRoutes.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\routes\clientRoutes.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\routes\companyRoutes.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\routes\recruitmentOfficerRoutes.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\User\Documents\GitHub\breakwaters-website-old\server\src\utils\email.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 19948, 1757, 20, 1640, 78, 136, 17, 156, 34, 1529, 151, 1000, 26466
